id,category_id,model_name,brand,tier,equipment_cost,install_cost,affiliate_url,image_url,warranty,battery_life,field_of_view,resolution,required_hub,connectivity,power_source,storage_options,subscription_required,additional_features,is_active
2001,1,Wyze Cam v4,Wyze,consumer,39.99,30,https://wyze.com/products/wyze-cam-v4,https://wyze.com/cdn/shop/files/wyze-cam-v4-hero.jpg,1 year,n/a (plug-in),115.8° diagonal,2.5K QHD (2560x1440),None,2.4/5 GHz Wi-Fi (dual-band),AC adapter,"microSD (local), Wyze cloud (subscription)",Optional,"color night vision, spotlight, two-way audio",True
2002,1,Wyze Cam Pan v3,Wyze,consumer,29.99,25,https://wyze.com/products/wyze-cam-pan-v3,https://wyze.com/cdn/shop/files/wyze-cam-pan-v3-hero.jpg,1 year,n/a (plug-in),120° diagonal,1080p,None,2.4 GHz Wi-Fi,AC adapter,"microSD, Wyze cloud",Optional,"pan/tilt, auto-tracking, two-way audio",True
2003,1,Blink Outdoor (v4),Blink,consumer,69.99,30,https://blinkforhome.com/products/blink-outdoor,https://blinkforhome.com/cdn/shop/products/blink-outdoor-hero.jpg,1 year,up to 2 years (2x AA),110°,1080p,Blink Sync Module (for local storage) optional,2.4 GHz Wi-Fi,Battery (AA),"Cloud subscription, local with Sync Module",Optional,"weather-resistant, infrared night vision",True
2004,1,Ring Indoor Cam (2nd Gen),Ring,consumer,59.99,25,https://ring.com/products/indoor-camera-2nd-gen,https://ring.com/products/indoor-camera-2nd-gen,1 year,n/a (plug-in),143° horizontal,1080p HD,None,2.4 GHz Wi‑Fi,AC adapter,Ring Protect cloud (subscription),Optional,"two-way talk, color night vision, motion zones",True
2005,1,Ring Floodlight Cam Wired Pro,Ring,prosumer,249.99,200,https://ring.com/products/floodlight-cam-wired-pro,https://ring.com/products/floodlight-cam-wired-pro,1 year,n/a (wired),140° horizontal,1080p HDR,None,2.4/5 GHz Wi‑Fi,Hardwired,Ring Protect cloud (subscription),Optional,"3D Motion Detection, Bird’s Eye View, dual LED floodlights, siren",True
2006,1,Ring Spotlight Cam Plus (Battery),Ring,consumer,199.99,120,https://ring.com/products/spotlight-cam-plus-battery,https://ring.com/products/spotlight-cam-plus-battery,1 year,months (typical use),140° horizontal,1080p HD,None,2.4 GHz Wi‑Fi,Rechargeable battery,Ring Protect cloud (subscription),Optional,"LED spotlights, siren, two-way talk, color night vision",True
2007,4,Ring Alarm (2nd Gen) Base Station,Ring,consumer,199.99,150,https://ring.com/products/alarm-security-system,https://ring.com/products/alarm-security-system,1 year,24-hour backup battery,n/a,n/a,n/a,"Z-Wave, Wi‑Fi, Ethernet, cellular backup",AC with backup battery,Cloud for event history (Ring Protect),Optional (for professional monitoring),"integrated siren, cellular backup, works with Ring devices",True
2008,1,Vivint Doorbell Camera Pro (Gen 2),Vivint,pro,249.0,200,https://www.vivint.com/products/doorbell-camera,https://www.vivint.com/products/doorbell-camera,Lifetime (with service agreement),n/a (wired),180° x 180°,1664p HDR,Vivint Smart Hub,Wi‑Fi (hybrid wired),Hardwired,Vivint Smart Drive / cloud with monitoring plan,Yes (for recording & monitoring),"package detection, light and sound deterrence, smart clips",True
2009,1,Vivint Outdoor Camera Pro,Vivint,pro,299.0,220,https://www.vivint.com/products/outdoor-camera,https://www.vivint.com/products/outdoor-camera,Lifetime (with service agreement),n/a (wired),140°,1080p / 4K HDR (model-dependent),Vivint Smart Hub,PoE or Wi‑Fi (system dependent),Wired,Vivint cloud / Smart Drive,Yes,"smart sentry, lurker detection, spotlight, siren",True
2010,4,Vivint Smart Hub,Vivint,pro,399.0,250,https://www.vivint.com/products/smart-hub,https://www.vivint.com/products/smart-hub,Lifetime (with service agreement),24-hour backup battery,n/a,"7"" touchscreen",n/a,"Z-Wave, Wi‑Fi, cellular, RF sensors",AC with backup battery,Cloud event logs,Yes (monitored service),"central panel, two-way talk to monitoring, automation scenes",True
2011,1,SimpliSafe Video Doorbell Pro,SimpliSafe,consumer,169.0,140,https://simplisafe.com/doorbell-camera,https://simplisafe.com/doorbell-camera,3 years,n/a (wired),162° diagonal,1080p HD,SimpliSafe Base Station for full integration,2.4 GHz Wi‑Fi,Hardwired doorbell transformer,SimpliSafe cloud recording (with plan),Yes (for recording),"HDR, person detection, pre-buffered clips",True
2012,4,SimpliSafe Base Station (Gen 3),SimpliSafe,consumer,199.0,150,https://simplisafe.com/base-station,https://simplisafe.com/base-station,3 years,24-hour backup battery,n/a,n/a,n/a,"Cellular, Wi‑Fi, RF to sensors",AC with backup battery,Cloud event history (with plan),Optional (for monitoring & recording),"integrated siren, cellular backup, works with cameras and doorbell",True
2013,1,Nest Doorbell (battery),Google (Nest),consumer,179.99,150,https://store.google.com/product/nest_doorbell_battery,https://store.google.com/product/nest_doorbell_battery,2 years,up to several months (usage-dependent),145° diagonal,960 x 1280 HD,None,2.4/5 GHz Wi‑Fi,Rechargeable battery or wired,Nest Aware cloud (subscription),Optional,"intelligent alerts (person, package, vehicle)",True
2014,1,"Nest Doorbell (wired, 2nd gen)",Google (Nest),consumer,179.99,170,https://store.google.com/product/nest_doorbell_wired_2nd_gen,https://store.google.com/product/nest_doorbell_wired_2nd_gen,2 years,n/a (wired),145° diagonal,960 x 1280 HD,None,2.4/5 GHz Wi‑Fi,Hardwired doorbell transformer,Nest Aware cloud,Optional,"HDR, intelligent alerts, pre-roll",True
2015,1,Nest Cam with Floodlight,Google (Nest),prosumer,279.99,220,https://store.google.com/product/nest_cam_with_floodlight,https://store.google.com/product/nest_cam_with_floodlight,2 years,n/a (wired),130° diagonal,1080p HDR,None,2.4/5 GHz Wi‑Fi,Hardwired,Nest Aware cloud,Optional,"two adjustable floodlights, smart alerts, Activity Zones",True
2016,1,Frontpoint Indoor Camera,Frontpoint,consumer,129.99,80,https://www.frontpointsecurity.com/shop/indoor-security-cameras,https://www.frontpointsecurity.com/shop/indoor-security-cameras,Limited (typically 3 years with contract),n/a (plug-in),113°,1080p HD,Frontpoint hub,Wi‑Fi,AC adapter,Frontpoint cloud via monitoring plan,Yes,"two-way audio, night vision, motion detection",True
2017,1,Frontpoint Outdoor Camera,Frontpoint,consumer,199.99,150,https://www.frontpointsecurity.com/shop/outdoor-security-cameras,https://www.frontpointsecurity.com/shop/outdoor-security-cameras,Limited (with monitoring agreement),n/a (wired or PoE),117°,1080p HD,Frontpoint hub,Wi‑Fi / Ethernet (model-dependent),Wired,Frontpoint cloud,Yes,"video analytics, Perimeter Guard deterrence",True
2018,1,Frontpoint Doorbell Camera,Frontpoint,consumer,189.99,150,https://www.frontpointsecurity.com/shop/doorbell-camera,https://www.frontpointsecurity.com/shop/doorbell-camera,Limited (with monitoring agreement),n/a (wired),180°,1080p HD,Frontpoint hub,Wi‑Fi,Hardwired,Frontpoint cloud (with plan),Yes,"two-way audio, motion detection, night vision",True
2019,4,Frontpoint Hub & Keypad,Frontpoint,consumer,299.99,200,https://www.frontpointsecurity.com/shop/home-security-systems,https://www.frontpointsecurity.com/shop/home-security-systems,Limited (with monitoring agreement),24-hour backup battery,n/a,n/a,n/a,"Cellular, Wi‑Fi, RF sensors",AC with backup battery,Cloud event history,Yes (professional monitoring),"touchscreen panel, cellular backup, automation support",True
2020,1,Brinks Home Doorbell Camera,Brinks Home Security,pro,199.0,150,https://brinkshome.com/doorbell-camera,https://brinkshome.com/doorbell-camera,Varies with contract,n/a (wired),180°,1080p HD,Brinks touchscreen panel,Wi‑Fi,Hardwired,Cloud via Brinks monitoring plan,Yes,"two-way audio, motion detection, night vision",True
2021,1,Brinks Home Indoor Camera,Brinks Home Security,pro,149.0,80,https://brinkshome.com/cameras,https://brinkshome.com/cameras,Varies with contract,n/a (plug-in),120°,1080p HD,Brinks touchscreen panel,Wi‑Fi,AC adapter,Brinks cloud (with plan),Yes,"two-way talk, night vision, motion alerts",True
2022,1,Brinks Home Outdoor Camera,Brinks Home Security,pro,199.0,170,https://brinkshome.com/cameras,https://brinkshome.com/cameras,Varies with contract,n/a (wired),118°,1080p HD,Brinks touchscreen panel,Wi‑Fi / Ethernet,Wired,Brinks cloud,Yes,"weather-resistant, infrared night vision",True
2023,4,Brinks Home Touchscreen Panel,Brinks Home Security,pro,299.0,220,https://brinkshome.com/home-security-systems,https://brinkshome.com/home-security-systems,Varies with contract,24-hour backup battery,n/a,"7"" touchscreen",n/a,"Cellular, Wi‑Fi, Z-Wave, RF sensors",AC with backup battery,Cloud event history,Yes (professional monitoring),"central control panel, smart home integration",True
2024,1,Arlo Pro 5S 2K,Arlo,prosumer,249.99,50,https://www.arlo.com/en-us/products/arlo-pro-5s-2k/,https://www.arlo.com/en-us/products/arlo-pro-5s-2k/,1 year,up to 8 months (claimed),160° diagonal,2K (2560x1440),None (Arlo Secure app),"Tri-band (Wi‑Fi, Arlo SecureLink)",Rechargeable battery,"Arlo Secure cloud, local via SmartHub",Optional,"dual-band Wi‑Fi, color night vision, spotlight, siren",True
2025,1,Arlo Essential Wired Video Doorbell,Arlo,consumer,149.99,150,https://www.arlo.com/en-us/products/arlo-essential-wired-video-doorbell/,https://www.arlo.com/en-us/products/arlo-essential-wired-video-doorbell/,1 year,n/a (wired),180° diagonal,1536 x 1536 HD,None (optional SmartHub),2.4 GHz Wi‑Fi,Hardwired doorbell transformer,"Arlo Secure cloud, optional local",Optional,"package detection, pre-roll, two-way audio",True
2026,1,Arlo Essential Indoor Camera,Arlo,consumer,99.99,40,https://www.arlo.com/en-us/products/arlo-essential-indoor-camera/,https://www.arlo.com/en-us/products/arlo-essential-indoor-camera/,1 year,n/a (plug-in),130° diagonal,1080p HD,None,2.4 GHz Wi‑Fi,AC adapter,"Arlo Secure cloud, optional local with SmartHub",Optional,"automated privacy shield, two-way audio, night vision",True
2027,1,Resideo ProSeries Indoor Camera,Honeywell Home / Resideo,pro,179.99,80,https://www.resideo.com/us/en/products/security/cameras/,https://www.resideo.com/us/en/products/security/cameras/,Limited,n/a (plug-in),135°,1080p HD,ProSeries panel (for full integration),Wi‑Fi,AC adapter,cloud via Resideo/AlarmNet partners,Yes (through monitoring provider),"two-way talk, night vision, motion detection",True
2028,4,"Honeywell Home ProSeries 7"" All-in-One Panel",Honeywell Home / Resideo,pro,399.99,250,https://www.resideo.com/us/en/pro/products/security/control-panels/resideo-proseries/,https://www.resideo.com/us/en/pro/products/security/control-panels/resideo-proseries/,Limited,24-hour backup battery,n/a,"7"" touchscreen",n/a,"Z-Wave, Wi‑Fi, cellular, RF",AC with backup battery,Cloud event history via monitoring provider,Yes (professional monitoring),"all-in-one panel, automation control, voice prompts",True
2029,1,Zmodo Sight 180 C Indoor Camera,Zmodo,budget,49.99,40,https://www.zmodo.com/product/sight-180/,https://www.zmodo.com/product/sight-180/,1 year,n/a (plug-in),180°,1080p HD,None,2.4 GHz Wi‑Fi,AC adapter,"Zmodo cloud, optional local (model-dependent)",Optional,"wide-angle lens, night vision, motion alerts",True
2030,1,Zmodo Greet Pro Video Doorbell,Zmodo,budget,89.99,130,https://www.zmodo.com/product/greet-pro/,https://www.zmodo.com/product/greet-pro/,1 year,n/a (wired),180°,1080p HD,None,2.4 GHz Wi‑Fi,Hardwired doorbell transformer,Zmodo cloud recording,Optional,"two-way audio, motion detection, night vision",True
2031,1,Zmodo Outdoor Wireless Camera,Zmodo,budget,59.99,80,https://www.zmodo.com/product/outdoor-camera/,https://www.zmodo.com/product/outdoor-camera/,1 year,n/a (wired/plug-in),90°–110° (model-dependent),720p/1080p (model-dependent),None,2.4 GHz Wi‑Fi,AC adapter,Zmodo cloud,Optional,"weather-resistant, night vision, motion alerts",True
2032,4,Qolsys IQ Panel 4,Johnson Controls / Qolsys,pro,499.99,300,https://qolsys.com/iq-panel-4/,https://qolsys.com/iq-panel-4/,Varies by dealer,24-hour backup battery,n/a,"7"" HD touchscreen",n/a,"Z-Wave Plus, Wi‑Fi, LTE, Bluetooth, PowerG",AC with backup battery,Cloud event history via monitoring provider,Yes (through alarm dealer),"built-in camera, quad-speaker, automation hub, Bluetooth disarming",True
2033,1,Qolsys IQ WiFi Video Doorbell,Johnson Controls / Qolsys,pro,199.99,150,https://qolsys.com/iq-wifi-video-doorbell/,https://qolsys.com/iq-wifi-video-doorbell/,Varies by dealer,n/a (wired),180°,1080p HD,IQ Panel for full integration,2.4 GHz Wi‑Fi,Hardwired doorbell transformer,Cloud via partnered monitoring platforms,Yes (through alarm dealer),"two-way audio, motion detection, night vision",True
